Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genres_list,Platforms_list,db_id
Assassin’S Creed Iii,3.75,Action,"Wii U, Xbox 360, Playstation 3, Xbox One, Playstation 4, Pc",Mature,0.205408496211178,3,['action'],"['wii u', 'xbox 360', 'playstation 3', 'xbox one', 'playstation 4', 'pc']",2593
Kingdom Come: Deliverance,4.04,"Action, Adventure, Rpg","Playstation 4, Xbox One, Pc",Mature,0.6416477045688606,3,"['action', 'adventure', 'rpg']","['playstation 4', 'xbox one', 'pc']",2183
Thief,3.26,"Action, Adventure","Playstation 4, Playstation 3, Xbox 360, Xbox One, Macos, Pc",Mature,-0.5316853386000789,3,"['action', 'adventure']","['playstation 4', 'playstation 3', 'xbox 360', 'xbox one', 'macos', 'pc']",2184
Watch Dogs 2,3.84,"Action, Adventure","Xbox One, Playstation 4, Pc",Mature,0.3407930781152861,3,"['action', 'adventure']","['xbox one', 'playstation 4', 'pc']",2185
Red Dead Redemption,4.42,"Action, Shooter","Pc, Nintendo Switch, Playstation 4, Xbox One, Xbox 360, Playstation 3",Mature,1.213271494830651,3,"['action', 'shooter']","['pc', 'nintendo switch', 'playstation 4', 'xbox one', 'xbox 360', 'playstation 3']",2186
Call Of Duty: Black Ops Iii,3.28,"Action, Shooter","Xbox 360, Xbox One, Playstation 3, Pc, Playstation 4",Mature,-0.5015998759547214,3,"['action', 'shooter']","['xbox 360', 'xbox one', 'playstation 3', 'pc', 'playstation 4']",2187
The Last Of Us Part Ii,4.41,"Action, Shooter, Adventure","Playstation 4, Playstation 5",Mature,1.198228763507973,3,"['action', 'shooter', 'adventure']","['playstation 4', 'playstation 5']",2188
Wolfenstein Ii: The New Colossus,4.1,"Action, Shooter","Playstation 4, Pc, Nintendo Switch, Xbox One",Mature,0.7319040925049322,3,"['action', 'shooter']","['playstation 4', 'pc', 'nintendo switch', 'xbox one']",2189
Quake Champions,3.26,"Action, Shooter",Pc,Mature,-0.5316853386000789,3,"['action', 'shooter']",['pc'],2190
Dead Cells,4.24,"Action, Rpg, Indie, Platformer","Xbox One, Nintendo Switch, Playstation 4, Macos, Linux, Ios, Pc",Teen,0.9425023310224347,5,"['action', 'rpg', 'indie', 'platformer']","['xbox one', 'nintendo switch', 'playstation 4', 'macos', 'linux', 'ios', 'pc']",2191
