Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
Jade Empire: Special Edition,4.11,"Action, RPG","macOS, Android, PC, iOS",Mature,"['Action', 'RPG']","['macOS', 'Android', 'PC', 'iOS']",1
Thimbleweed Park,4.07,"Adventure, Indie, Puzzle","PlayStation 4, Xbox One, Nintendo Switch, Android, PC, Linux, macOS, iOS",Teen,"['Adventure', 'Indie', 'Puzzle']","['PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Android', 'PC', 'Linux', 'macOS', 'iOS']",0
Lumino City,3.43,"Adventure, Indie, Puzzle, Platformer","macOS, iOS, PC, Android",Everyone,"['Adventure', 'Indie', 'Puzzle', 'Platformer']","['macOS', 'iOS', 'PC', 'Android']",0
Hearthstone,3.91,"Strategy, Card","PC, Android, macOS, iOS",Teen,"['Strategy', 'Card']","['PC', 'Android', 'macOS', 'iOS']",0
Pix the Cat,2.63,"Action, Arcade, Indie","PS Vita, PlayStation 4, Nintendo Switch, Xbox One, Linux, PC, Android, macOS",Everyone,"['Action', 'Arcade', 'Indie']","['PS Vita', 'PlayStation 4', 'Nintendo Switch', 'Xbox One', 'Linux', 'PC', 'Android', 'macOS']",0
Windward,2.74,"Action, Adventure, RPG, Indie","PC, macOS, Linux, Android",Everyone 10+,"['Action', 'Adventure', 'RPG', 'Indie']","['PC', 'macOS', 'Linux', 'Android']",2
Death Squared,3.37,"Casual, Indie, Puzzle","PC, Android, Nintendo Switch, macOS, Xbox One, PlayStation 4",Everyone,"['Casual', 'Indie', 'Puzzle']","['PC', 'Android', 'Nintendo Switch', 'macOS', 'Xbox One', 'PlayStation 4']",0
EA SPORTS UFC,3.3,"Simulation, Sports, Fighting","Xbox One, Android, iOS, PlayStation 4",Teen,"['Simulation', 'Sports', 'Fighting']","['Xbox One', 'Android', 'iOS', 'PlayStation 4']",0
FINAL FANTASY III (3D REMAKE),3.78,RPG,"PC, iOS, Nintendo DS, PS Vita, PSP, Android",Everyone 10+,['RPG'],"['PC', 'iOS', 'Nintendo DS', 'PS Vita', 'PSP', 'Android']",2
Marvel's Guardians of the Galaxy: The Telltale Series,3.57,Adventure,"Xbox One, PC, PlayStation 4, Android, macOS, iOS",Teen,['Adventure'],"['Xbox One', 'PC', 'PlayStation 4', 'Android', 'macOS', 'iOS']",0
Agatha Christie - The ABC Murders,3.36,"Action, Adventure, Puzzle","Xbox One, PlayStation 4, Nintendo DS, PC, macOS, Linux, Android, iOS",Teen,"['Action', 'Adventure', 'Puzzle']","['Xbox One', 'PlayStation 4', 'Nintendo DS', 'PC', 'macOS', 'Linux', 'Android', 'iOS']",0
Cube Escape: Paradox,3.97,"Adventure, Indie, Puzzle","macOS, PC, Android, iOS",Teen,"['Adventure', 'Indie', 'Puzzle']","['macOS', 'PC', 'Android', 'iOS']",0
Savant - Ascent,3.27,"Action, Arcade, Indie","Android, macOS, Linux, iOS, PC",Everyone 10+,"['Action', 'Arcade', 'Indie']","['Android', 'macOS', 'Linux', 'iOS', 'PC']",2
Florence,4.12,"Adventure, Casual, Family, Indie, Puzzle","Nintendo Switch, iOS, PC, macOS, Android",Teen,"['Adventure', 'Casual', 'Family', 'Indie', 'Puzzle']","['Nintendo Switch', 'iOS', 'PC', 'macOS', 'Android']",0
Anomaly Defenders,2.83,"Action, Strategy, Indie","Android, Linux, PC, iOS, macOS",Everyone,"['Action', 'Strategy', 'Indie']","['Android', 'Linux', 'PC', 'iOS', 'macOS']",0
Zen Bound 2,3.34,"Casual, Family, Indie, Puzzle","Linux, Nintendo Switch, Android, PC, iOS, macOS",Everyone 10+,"['Casual', 'Family', 'Indie', 'Puzzle']","['Linux', 'Nintendo Switch', 'Android', 'PC', 'iOS', 'macOS']",2
Ravensword: Shadowlands,2.09,"Action, Adventure, RPG, Indie","PlayStation 4, Linux, macOS, PC, iOS, Nintendo Switch, Android",Teen,"['Action', 'Adventure', 'RPG', 'Indie']","['PlayStation 4', 'Linux', 'macOS', 'PC', 'iOS', 'Nintendo Switch', 'Android']",0
Monument Valley,4.4,"Adventure, Casual, Puzzle","Android, iOS, PC",Everyone,"['Adventure', 'Casual', 'Puzzle']","['Android', 'iOS', 'PC']",0
SimplePlanes,2.97,"Educational, Indie","iOS, PC, macOS, Android",Everyone 10+,"['Educational', 'Indie']","['iOS', 'PC', 'macOS', 'Android']",2
16bit Trader,1.75,"Adventure, RPG, Strategy, Simulation, Casual, Indie","PC, Android, Linux, iOS, macOS",Everyone,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Casual', 'Indie']","['PC', 'Android', 'Linux', 'iOS', 'macOS']",0
The Inner World,3.72,"Adventure, Family, Indie","Xbox One, PlayStation 4, Nintendo Switch, Linux, Android, PC, macOS, iOS",Teen,"['Adventure', 'Family', 'Indie']","['Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Linux', 'Android', 'PC', 'macOS', 'iOS']",0
Duke Nukem 3D,4.36,"Action, Shooter","Genesis, SEGA Saturn, PlayStation, Xbox 360, PC, iOS, Android",Mature,"['Action', 'Shooter']","['Genesis', 'SEGA Saturn', 'PlayStation', 'Xbox 360', 'PC', 'iOS', 'Android']",1
Dropsy,3.48,"Adventure, Indie, Puzzle","macOS, PC, Linux, iOS, Android",Teen,"['Adventure', 'Indie', 'Puzzle']","['macOS', 'PC', 'Linux', 'iOS', 'Android']",0
Breach & Clear,2.78,"Action, RPG, Strategy, Simulation","PS Vita, iOS, PC, macOS, Linux, Android",Teen,"['Action', 'RPG', 'Strategy', 'Simulation']","['PS Vita', 'iOS', 'PC', 'macOS', 'Linux', 'Android']",0
Splice,3.25,"Action, Adventure, Simulation, Casual, Indie, Puzzle","PC, Linux, PlayStation 4, PlayStation 3, Android, macOS",Everyone 10+,"['Action', 'Adventure', 'Simulation', 'Casual', 'Indie', 'Puzzle']","['PC', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Android', 'macOS']",2
Distraint: Deluxe Edition,3.17,"Adventure, Puzzle","PS Vita, PlayStation 4, iOS, Nintendo Switch, Android, PC",Mature,"['Adventure', 'Puzzle']","['PS Vita', 'PlayStation 4', 'iOS', 'Nintendo Switch', 'Android', 'PC']",1
Mechanic Escape,2.24,"Action, Adventure, Arcade, Casual, Indie, Puzzle","macOS, Android, iOS, PC",Everyone 10+,"['Action', 'Adventure', 'Arcade', 'Casual', 'Indie', 'Puzzle']","['macOS', 'Android', 'iOS', 'PC']",2
Small World 2,3.12,"Strategy, Board Games, Casual, Indie","Android, PC, macOS, Linux, iOS",Everyone 10+,"['Strategy', 'Board Games', 'Casual', 'Indie']","['Android', 'PC', 'macOS', 'Linux', 'iOS']",2
Blackwell Unbound,3.65,"Adventure, RPG, Indie","iOS, Android, Linux, macOS, PC",Teen,"['Adventure', 'RPG', 'Indie']","['iOS', 'Android', 'Linux', 'macOS', 'PC']",0
Dead Age,2.71,"Action, Adventure, RPG, Strategy, Simulation, Casual, Indie","Xbox One, PlayStation 4, PC, macOS, Linux, iOS, Android",Mature,"['Action', 'Adventure', 'RPG', 'Strategy', 'Simulation', 'Casual', 'Indie']","['Xbox One', 'PlayStation 4', 'PC', 'macOS', 'Linux', 'iOS', 'Android']",1
MOBIUS FINAL FANTASY,2.54,RPG,"Android, PC, iOS",Teen,['RPG'],"['Android', 'PC', 'iOS']",0
Undecember,2.52,"Action, RPG","Android, PC, iOS",Mature,"['Action', 'RPG']","['Android', 'PC', 'iOS']",1
Streets of Rage 2,4.11,"Action, Arcade","Android, Wii, Nintendo 3DS, PC, Genesis, Game Gear, SEGA Master System, Classic Macintosh, Linux, iOS, Xbox 360, PlayStation 3",Everyone 10+,"['Action', 'Arcade']","['Android', 'Wii', 'Nintendo 3DS', 'PC', 'Genesis', 'Game Gear', 'SEGA Master System', 'Classic Macintosh', 'Linux', 'iOS', 'Xbox 360', 'PlayStation 3']",2
QuestRun,1.83,"Adventure, RPG","Android, iOS, PC, macOS",Everyone,"['Adventure', 'RPG']","['Android', 'iOS', 'PC', 'macOS']",0
Battle Islands,2.08,"RPG, Strategy, Simulation","Xbox One, PlayStation 4, Android, PC, iOS",Teen,"['RPG', 'Strategy', 'Simulation']","['Xbox One', 'PlayStation 4', 'Android', 'PC', 'iOS']",0
Yesterday,3.43,"Adventure, RPG","PC, Android, iOS",Teen,"['Adventure', 'RPG']","['PC', 'Android', 'iOS']",0
Chariot,3.2,"Action, Adventure, Indie","Xbox One, Wii U, PlayStation 3, PlayStation 4, PC, Android",Everyone,"['Action', 'Adventure', 'Indie']","['Xbox One', 'Wii U', 'PlayStation 3', 'PlayStation 4', 'PC', 'Android']",0
Dead Effect,2.82,"Action, Adventure, Indie","Android, macOS, PC, iOS",Mature,"['Action', 'Adventure', 'Indie']","['Android', 'macOS', 'PC', 'iOS']",1
Missing Translation,2.98,"Adventure, Casual, Indie, Puzzle","Android, PC, macOS",Everyone,"['Adventure', 'Casual', 'Indie', 'Puzzle']","['Android', 'PC', 'macOS']",0
FINAL FANTASY V,4.06,RPG,"SNES, Android, PC, iOS, Game Boy Advance",Everyone 10+,['RPG'],"['SNES', 'Android', 'PC', 'iOS', 'Game Boy Advance']",2
Monster Loves You!,2.86,"Action, Adventure, RPG, Simulation, Casual, Family, Indie","Nintendo Switch, PlayStation 4, iOS, macOS, Linux, PC, Android",Teen,"['Action', 'Adventure', 'RPG', 'Simulation', 'Casual', 'Family', 'Indie']","['Nintendo Switch', 'PlayStation 4', 'iOS', 'macOS', 'Linux', 'PC', 'Android']",0
Millie,2.19,"Action, Arcade, Casual, Indie, Puzzle","Nintendo Switch, Android, PC, Linux, iOS, macOS",Everyone 10+,"['Action', 'Arcade', 'Casual', 'Indie', 'Puzzle']","['Nintendo Switch', 'Android', 'PC', 'Linux', 'iOS', 'macOS']",2
Reigns: Her Majesty,3.78,"Adventure, RPG, Simulation, Casual, Card, Indie","Android, Linux, macOS, PC, iOS",Teen,"['Adventure', 'RPG', 'Simulation', 'Casual', 'Card', 'Indie']","['Android', 'Linux', 'macOS', 'PC', 'iOS']",0
BROKE PROTOCOL: Online City RPG,2.02,"Action, RPG, Simulation, Massively Multiplayer, Indie","Android, PC",Everyone 10+,"['Action', 'RPG', 'Simulation', 'Massively Multiplayer', 'Indie']","['Android', 'PC']",2
Gauntlet,3.26,"Action, RPG, Indie","PC, Nintendo DS, Android, PlayStation 4",Everyone 10+,"['Action', 'RPG', 'Indie']","['PC', 'Nintendo DS', 'Android', 'PlayStation 4']",2
Oh...Sir!! The Insult Simulator,3.31,"Action, Simulation, Indie","PlayStation 4, Xbox One, iOS, PC, macOS, Linux, Nintendo Switch, Android",Teen,"['Action', 'Simulation', 'Indie']","['PlayStation 4', 'Xbox One', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'Android']",0
Knights of Pen and Paper 2,3.85,"Adventure, RPG, Strategy, Simulation, Indie","iOS, PC, macOS, Android, Linux",Teen,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Indie']","['iOS', 'PC', 'macOS', 'Android', 'Linux']",0
20 Minutes Till Dawn,3.84,"Action, Adventure, RPG, Strategy, Casual, Indie","PC, iOS, Android",Teen,"['Action', 'Adventure', 'RPG', 'Strategy', 'Casual', 'Indie']","['PC', 'iOS', 'Android']",0
Motorsport Manager,3.83,"Strategy, Simulation, Sports, Racing","iOS, PC, Android",Everyone 10+,"['Strategy', 'Simulation', 'Sports', 'Racing']","['iOS', 'PC', 'Android']",2
Phoenix Wright: Ace Attorney,4.36,Adventure,"iOS, PC, Nintendo 3DS, Nintendo DS, Wii, Android, Game Boy Advance",Teen,['Adventure'],"['iOS', 'PC', 'Nintendo 3DS', 'Nintendo DS', 'Wii', 'Android', 'Game Boy Advance']",0
Pac-Man,4.07,"Arcade, Casual, Family","Commodore / Amiga, Game Boy Color, Atari 5200, Game Boy, Atari 8-bit, Game Boy Advance, Atari 2600, Android, PlayStation 4, Xbox 360, Neo Geo, Wii, Wii U, Nintendo 3DS, Nintendo Switch, macOS, iOS, Xbox One, Game Gear, PC, Apple II, NES",Everyone,"['Arcade', 'Casual', 'Family']","['Commodore / Amiga', 'Game Boy Color', 'Atari 5200', 'Game Boy', 'Atari 8-bit', 'Game Boy Advance', 'Atari 2600', 'Android', 'PlayStation 4', 'Xbox 360', 'Neo Geo', 'Wii', 'Wii U', 'Nintendo 3DS', 'Nintendo Switch', 'macOS', 'iOS', 'Xbox One', 'Game Gear', 'PC', 'Apple II', 'NES']",0
Tower of Fantasy,2.52,"Action, Adventure, RPG, Massively Multiplayer","PC, Android, iOS",Teen,"['Action', 'Adventure', 'RPG', 'Massively Multiplayer']","['PC', 'Android', 'iOS']",0
Orborun,1.82,"Action, Racing, Arcade, Indie","iOS, Linux, Android, PC, macOS",Everyone 10+,"['Action', 'Racing', 'Arcade', 'Indie']","['iOS', 'Linux', 'Android', 'PC', 'macOS']",2
Another World,4.2,"Adventure, Arcade, Puzzle, Platformer","Apple II, Jaguar, iOS, PC, Nintendo Switch, Android, Atari ST, Classic Macintosh, SNES, 3DO, Commodore / Amiga, Genesis",Teen,"['Adventure', 'Arcade', 'Puzzle', 'Platformer']","['Apple II', 'Jaguar', 'iOS', 'PC', 'Nintendo Switch', 'Android', 'Atari ST', 'Classic Macintosh', 'SNES', '3DO', 'Commodore / Amiga', 'Genesis']",0
60 Seconds!,3.55,"Adventure, Strategy, Simulation, Casual, Indie","Xbox One, Nintendo Switch, PlayStation 4, Android, macOS, PC",Everyone 10+,"['Adventure', 'Strategy', 'Simulation', 'Casual', 'Indie']","['Xbox One', 'Nintendo Switch', 'PlayStation 4', 'Android', 'macOS', 'PC']",2
The Last Door - Collector's Edition,3.78,"Adventure, Indie, Puzzle","iOS, Android, PC, Linux, macOS",Teen,"['Adventure', 'Indie', 'Puzzle']","['iOS', 'Android', 'PC', 'Linux', 'macOS']",0
Super Auto Pets,3.63,Strategy,"Web, Linux, PC, iOS, Android",Everyone 10+,['Strategy'],"['Web', 'Linux', 'PC', 'iOS', 'Android']",2
Five Nights at Freddy's: Sister Location,3.21,"Action, Adventure, Simulation, Indie","Android, PlayStation 4, Xbox One, Nintendo Switch, PC, iOS",Teen,"['Action', 'Adventure', 'Simulation', 'Indie']","['Android', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PC', 'iOS']",0
Geometry Wars 3: Dimensions Evolved,3.77,"Action, Shooter, Arcade","iOS, Xbox One, Xbox 360, PS Vita, PlayStation 4, PlayStation 3, Android, PC, Linux, macOS",Everyone,"['Action', 'Shooter', 'Arcade']","['iOS', 'Xbox One', 'Xbox 360', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Android', 'PC', 'Linux', 'macOS']",0
Merchants of Kaidan,2.07,"Adventure, RPG, Strategy, Simulation, Indie","Android, Nintendo Switch, Linux, macOS, PC, iOS",Everyone 10+,"['Adventure', 'RPG', 'Strategy', 'Simulation', 'Indie']","['Android', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'iOS']",2
FINAL FANTASY IV: THE AFTER YEARS,3.72,"Adventure, RPG","Nintendo DS, iOS, Nintendo 3DS, PSP, Android, PS Vita, Wii, PC",Everyone 10+,"['Adventure', 'RPG']","['Nintendo DS', 'iOS', 'Nintendo 3DS', 'PSP', 'Android', 'PS Vita', 'Wii', 'PC']",2
Shoot Many Robots,2.86,"Action, Shooter, RPG, Arcade, Indie","PlayStation 3, Xbox 360, Android, PC",Mature,"['Action', 'Shooter', 'RPG', 'Arcade', 'Indie']","['PlayStation 3', 'Xbox 360', 'Android', 'PC']",1
Snuggle Truck,2.18,"Racing, Arcade, Casual, Indie","iOS, Android, macOS, PC, Linux",Everyone 10+,"['Racing', 'Arcade', 'Casual', 'Indie']","['iOS', 'Android', 'macOS', 'PC', 'Linux']",2
Ikaruga,4.03,"Action, Shooter, Indie","Dreamcast, Android, PC, Xbox 360, Nintendo Switch, PlayStation 4, GameCube, Xbox One",Everyone 10+,"['Action', 'Shooter', 'Indie']","['Dreamcast', 'Android', 'PC', 'Xbox 360', 'Nintendo Switch', 'PlayStation 4', 'GameCube', 'Xbox One']",2
Jack Lumber,2.04,"Action, Strategy, Arcade, Casual, Indie","macOS, iOS, Android, PC, Linux",Everyone 10+,"['Action', 'Strategy', 'Arcade', 'Casual', 'Indie']","['macOS', 'iOS', 'Android', 'PC', 'Linux']",2
Legends of Idleon MMO,2.7,"RPG, Simulation, Casual, Massively Multiplayer, Indie","PC, Android, iOS",Everyone 10+,"['RPG', 'Simulation', 'Casual', 'Massively Multiplayer', 'Indie']","['PC', 'Android', 'iOS']",2
A Boy and His Blob,3.05,"Action, Adventure, Arcade, Puzzle, Platformer","Android, PS Vita, PlayStation 4, PlayStation 3, Nintendo DS, Nintendo 3DS, Nintendo Switch, Linux, macOS, PC, Xbox One, iOS, Wii",Everyone,"['Action', 'Adventure', 'Arcade', 'Puzzle', 'Platformer']","['Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Nintendo DS', 'Nintendo 3DS', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'Xbox One', 'iOS', 'Wii']",0
Incredipede,2.51,"Action, Adventure, Simulation, Indie, Puzzle","Android, macOS, Linux, PC, iOS",Everyone 10+,"['Action', 'Adventure', 'Simulation', 'Indie', 'Puzzle']","['Android', 'macOS', 'Linux', 'PC', 'iOS']",2
Hook,3.55,"Casual, Indie, Puzzle","Android, iOS, Web, Nintendo Switch, macOS, PC, Linux",Everyone,"['Casual', 'Indie', 'Puzzle']","['Android', 'iOS', 'Web', 'Nintendo Switch', 'macOS', 'PC', 'Linux']",0
Neverending Nightmares,3.09,"Action, Adventure, Indie","iOS, PS Vita, PlayStation 4, macOS, PC, Linux, Android",Teen,"['Action', 'Adventure', 'Indie']","['iOS', 'PS Vita', 'PlayStation 4', 'macOS', 'PC', 'Linux', 'Android']",0
Fieldrunners,3.23,"Action, Strategy, Casual, Indie","PSP, PlayStation 3, macOS, PC, Android, iOS",Everyone 10+,"['Action', 'Strategy', 'Casual', 'Indie']","['PSP', 'PlayStation 3', 'macOS', 'PC', 'Android', 'iOS']",2
Tomb Raider,4.08,Action,"SEGA Saturn, Android, PC, iOS, PlayStation",Teen,['Action'],"['SEGA Saturn', 'Android', 'PC', 'iOS', 'PlayStation']",0
Distraint 2,3.8,"Adventure, Casual, Indie, Puzzle","iOS, Nintendo Switch, Android, PlayStation 4, PC, Xbox One",Teen,"['Adventure', 'Casual', 'Indie', 'Puzzle']","['iOS', 'Nintendo Switch', 'Android', 'PlayStation 4', 'PC', 'Xbox One']",0
The Amazing Spider-Man,3.34,"Action, Adventure","PS Vita, Nintendo 3DS, Xbox 360, Wii U, Wii, Android, PlayStation 3, PC, iOS, Nintendo DS",Teen,"['Action', 'Adventure']","['PS Vita', 'Nintendo 3DS', 'Xbox 360', 'Wii U', 'Wii', 'Android', 'PlayStation 3', 'PC', 'iOS', 'Nintendo DS']",0
DOOM (25th anniversary),4.2,Shooter,"Xbox One, iOS, Nintendo Switch, PlayStation 4, Android",Mature,['Shooter'],"['Xbox One', 'iOS', 'Nintendo Switch', 'PlayStation 4', 'Android']",1
Nightmares from the Deep: The Cursed Heart,3.45,"Adventure, Casual, Puzzle","Xbox One, PlayStation 4, PC, macOS, Linux, Android",Teen,"['Adventure', 'Casual', 'Puzzle']","['Xbox One', 'PlayStation 4', 'PC', 'macOS', 'Linux', 'Android']",0
Riven: The Sequel to Myst,4.12,"Adventure, Casual, Indie, Puzzle","macOS, PC, iOS, SEGA Saturn, PlayStation, Classic Macintosh, Android",Everyone 10+,"['Adventure', 'Casual', 'Indie', 'Puzzle']","['macOS', 'PC', 'iOS', 'SEGA Saturn', 'PlayStation', 'Classic Macintosh', 'Android']",2
MudRunner,3.8,Simulation,"Android, PlayStation 4, Nintendo Switch, PC, Xbox One",Everyone,['Simulation'],"['Android', 'PlayStation 4', 'Nintendo Switch', 'PC', 'Xbox One']",0
Spoiler Alert,2.68,"Action, Adventure, Casual, Indie","Linux, Nintendo Switch, macOS, PC, Android, iOS",Everyone 10+,"['Action', 'Adventure', 'Casual', 'Indie']","['Linux', 'Nintendo Switch', 'macOS', 'PC', 'Android', 'iOS']",2
Prime World: Defenders,3.27,"RPG, Strategy, Casual, Indie","Nintendo Switch, iOS, Android, PC",Everyone,"['RPG', 'Strategy', 'Casual', 'Indie']","['Nintendo Switch', 'iOS', 'Android', 'PC']",0
Yesterday Origins,3.66,"Adventure, RPG","Xbox One, PlayStation 4, Nintendo Switch, PC, Android, iOS, macOS",Mature,"['Adventure', 'RPG']","['Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PC', 'Android', 'iOS', 'macOS']",1
Amnesia: Memories,3.34,Adventure,"Android, PC, Nintendo Switch, iOS, PSP, PS Vita",Teen,['Adventure'],"['Android', 'PC', 'Nintendo Switch', 'iOS', 'PSP', 'PS Vita']",0
Asphalt 8: Airborne,3.64,"Racing, Arcade, Casual","macOS, Android, PC, iOS",Teen,"['Racing', 'Arcade', 'Casual']","['macOS', 'Android', 'PC', 'iOS']",0
Finding Teddy,2.89,"Adventure, Indie, Puzzle","iOS, macOS, Linux, Android, PC",Everyone 10+,"['Adventure', 'Indie', 'Puzzle']","['iOS', 'macOS', 'Linux', 'Android', 'PC']",2
School of Dragons,2.61,"Adventure, RPG, Educational, Massively Multiplayer","macOS, PC, iOS, Android",Everyone 10+,"['Adventure', 'RPG', 'Educational', 'Massively Multiplayer']","['macOS', 'PC', 'iOS', 'Android']",2
"Hack, Slash, Loot",2.12,"RPG, Strategy, Casual, Indie","macOS, PC, Android, iOS",Everyone 10+,"['RPG', 'Strategy', 'Casual', 'Indie']","['macOS', 'PC', 'Android', 'iOS']",2
The Jackbox Party Pack 7,4.3,"Casual, Indie","PlayStation 4, Xbox One, Nintendo Switch, Android, iOS, PC, macOS, Linux",Teen,"['Casual', 'Indie']","['PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Android', 'iOS', 'PC', 'macOS', 'Linux']",0
KAMI,3.6,"Casual, Indie, Puzzle","Nintendo 3DS, PC, macOS, Android, iOS",Everyone 10+,"['Casual', 'Indie', 'Puzzle']","['Nintendo 3DS', 'PC', 'macOS', 'Android', 'iOS']",2
Catan Universe,2.77,"Strategy, Board Games","Nintendo Switch, Android, iOS, PC",Everyone,"['Strategy', 'Board Games']","['Nintendo Switch', 'Android', 'iOS', 'PC']",0
Replica,3.54,"Adventure, Indie","macOS, PC, Android",Teen,"['Adventure', 'Indie']","['macOS', 'PC', 'Android']",0
Crowntakers,2.47,"RPG, Strategy, Indie","macOS, iOS, Android, PC, Linux",Teen,"['RPG', 'Strategy', 'Indie']","['macOS', 'iOS', 'Android', 'PC', 'Linux']",0
Modern Combat 5,2.57,"Action, Adventure, Massively Multiplayer","Android, PC, iOS",Mature,"['Action', 'Adventure', 'Massively Multiplayer']","['Android', 'PC', 'iOS']",1
Grim Legends: The Forsaken Bride,3.62,"Adventure, Casual, Puzzle","Xbox One, PlayStation 4, iOS, Android, macOS, PC, Linux",Teen,"['Adventure', 'Casual', 'Puzzle']","['Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'PC', 'Linux']",0
Dracula 1: Resurrection (android),2.91,"Adventure, Casual",Android,Mature,"['Adventure', 'Casual']",['Android'],1
Return to Monkey Island,4.06,"Adventure, Casual, Puzzle","iOS, PlayStation 5, Xbox Series S/X, macOS, PC, Android, Linux, Nintendo Switch",Teen,"['Adventure', 'Casual', 'Puzzle']","['iOS', 'PlayStation 5', 'Xbox Series S/X', 'macOS', 'PC', 'Android', 'Linux', 'Nintendo Switch']",0
Frantics,3.5,"Arcade, Casual","PlayStation 4, Android",Everyone 10+,"['Arcade', 'Casual']","['PlayStation 4', 'Android']",2
HUNTDOWN,4.35,"Action, Indie","Nintendo Switch, PlayStation 4, Xbox One, Linux, iOS, PC, macOS, Android",Teen,"['Action', 'Indie']","['Nintendo Switch', 'PlayStation 4', 'Xbox One', 'Linux', 'iOS', 'PC', 'macOS', 'Android']",0
Godus,2.73,"Strategy, Simulation, Indie","PC, Android, macOS, iOS",Everyone 10+,"['Strategy', 'Simulation', 'Indie']","['PC', 'Android', 'macOS', 'iOS']",2
Total War Battles: KINGDOM,1.65,"Action, Strategy","iOS, PC, Android, macOS",Teen,"['Action', 'Strategy']","['iOS', 'PC', 'Android', 'macOS']",0
King Oddball,2.56,"Action, Indie, Puzzle","iOS, Xbox One, PlayStation 3, PlayStation 4, PS Vita, Nintendo Switch, macOS, PC, Linux, Android",Everyone 10+,"['Action', 'Indie', 'Puzzle']","['iOS', 'Xbox One', 'PlayStation 3', 'PlayStation 4', 'PS Vita', 'Nintendo Switch', 'macOS', 'PC', 'Linux', 'Android']",2
Grand Theft Auto: Liberty City Stories,3.99,Action,"iOS, Android, PSP, PlayStation 2, PlayStation 3",Mature,['Action'],"['iOS', 'Android', 'PSP', 'PlayStation 2', 'PlayStation 3']",1
Disney Dreamlight Valley,3.47,"Adventure, Simulation","Android, iOS, Xbox One, Xbox Series S/X, PlayStation 5, PC, Nintendo Switch, macOS, PlayStation 4",Everyone,"['Adventure', 'Simulation']","['Android', 'iOS', 'Xbox One', 'Xbox Series S/X', 'PlayStation 5', 'PC', 'Nintendo Switch', 'macOS', 'PlayStation 4']",0
FINAL FANTASY,3.8,"RPG, Casual","Wii, Android, PSP, Game Boy Advance, PlayStation, PC, iOS",Everyone 10+,"['RPG', 'Casual']","['Wii', 'Android', 'PSP', 'Game Boy Advance', 'PlayStation', 'PC', 'iOS']",2
Shop Heroes,2.73,"RPG, Strategy, Simulation, Casual, Massively Multiplayer","Android, Web, iOS, PC",Everyone 10+,"['RPG', 'Strategy', 'Simulation', 'Casual', 'Massively Multiplayer']","['Android', 'Web', 'iOS', 'PC']",2
Pandemic: The Board Game,2.88,"Strategy, Simulation, Board Games","Nintendo Switch, Xbox One, Android, PC, iOS",Everyone,"['Strategy', 'Simulation', 'Board Games']","['Nintendo Switch', 'Xbox One', 'Android', 'PC', 'iOS']",0
Jones On Fire,2.0,"Action, Racing, Casual, Indie","Wii U, macOS, PC, Android",Everyone 10+,"['Action', 'Racing', 'Casual', 'Indie']","['Wii U', 'macOS', 'PC', 'Android']",2
The Great Ace Attorney Chronicles,4.5,Adventure,"PC, Nintendo Switch, Android, iOS, PlayStation 4, Nintendo 3DS",Teen,['Adventure'],"['PC', 'Nintendo Switch', 'Android', 'iOS', 'PlayStation 4', 'Nintendo 3DS']",0
Secret Files: Tunguska,3.58,"Adventure, Family","Wii U, Nintendo DS, Android, Wii, Nintendo Switch, PC, iOS",Teen,"['Adventure', 'Family']","['Wii U', 'Nintendo DS', 'Android', 'Wii', 'Nintendo Switch', 'PC', 'iOS']",0
Max Gentlemen,2.4,"Arcade, Casual, Indie","Android, macOS, PC, Linux, iOS",Teen,"['Arcade', 'Casual', 'Indie']","['Android', 'macOS', 'PC', 'Linux', 'iOS']",0
Lovecraft Locker: Tentacle Lust,4.21,"Strategy, Indie","Linux, Android, PC, macOS, iOS",Adults Only,"['Strategy', 'Indie']","['Linux', 'Android', 'PC', 'macOS', 'iOS']",0
Torque Drift,2.24,Racing,"iOS, PC, Android",Everyone 10+,['Racing'],"['iOS', 'PC', 'Android']",2
SAS: Zombie Assault 4,3.13,"Action, RPG","Android, macOS, PC, iOS",Teen,"['Action', 'RPG']","['Android', 'macOS', 'PC', 'iOS']",0
Forza Street,2.38,"Sports, Racing","Android, PC, iOS",Everyone 10+,"['Sports', 'Racing']","['Android', 'PC', 'iOS']",2
Bad Hotel,1.56,"Action, Casual, Indie, Puzzle","PC, Linux, macOS, iOS, Android",Everyone 10+,"['Action', 'Casual', 'Indie', 'Puzzle']","['PC', 'Linux', 'macOS', 'iOS', 'Android']",2
