Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
The Incredible Adventures of Van Helsing,3.41,"Action, RPG, Indie","Xbox One, PC, macOS",Teen,"['Action', 'RPG', 'Indie']","['Xbox One', 'PC', 'macOS']",0
Duke Nukem Forever,2.87,"Action, Shooter","Xbox 360, PlayStation 3, Xbox One, PC, macOS",Mature,"['Action', 'Shooter']","['Xbox 360', 'PlayStation 3', 'Xbox One', 'PC', 'macOS']",1
Persona 4 Golden,4.43,RPG,"Nintendo Switch, Xbox Series S/X, PS Vita, PC, Xbox One, PlayStation 4",Mature,['RPG'],"['Nintendo Switch', 'Xbox Series S/X', 'PS Vita', 'PC', 'Xbox One', 'PlayStation 4']",1
Call of Duty: Ghosts,3.16,"Action, Shooter","Wii U, Xbox One, PC, Xbox 360, PlayStation 3, PlayStation 4",Mature,"['Action', 'Shooter']","['Wii U', 'Xbox One', 'PC', 'Xbox 360', 'PlayStation 3', 'PlayStation 4']",1
Need for Speed Rivals,3.15,"Racing, Arcade","PlayStation 4, PlayStation 3, Xbox 360, PC, Xbox One",Everyone 10+,"['Racing', 'Arcade']","['PlayStation 4', 'PlayStation 3', 'Xbox 360', 'PC', 'Xbox One']",2
STAR WARS - The Force Unleashed Ultimate Sith Edition,3.83,Action,"macOS, PC, Xbox 360, PlayStation 3",Teen,['Action'],"['macOS', 'PC', 'Xbox 360', 'PlayStation 3']",0
Valkyria Chronicles,4.06,"Action, RPG, Strategy","PlayStation 3, Nintendo Switch, PC",Everyone,"['Action', 'RPG', 'Strategy']","['PlayStation 3', 'Nintendo Switch', 'PC']",0
Fable III,3.73,"Action, RPG","PC, Xbox 360, Xbox One",Mature,"['Action', 'RPG']","['PC', 'Xbox 360', 'Xbox One']",1
Gears of War,4.11,"Action, Shooter","Xbox 360, Xbox One, PC",Mature,"['Action', 'Shooter']","['Xbox 360', 'Xbox One', 'PC']",1
Dark Souls,4.34,"Action, RPG","Xbox 360, PC, PlayStation 3",Mature,"['Action', 'RPG']","['Xbox 360', 'PC', 'PlayStation 3']",1
inFAMOUS: First Light,3.72,Action,PlayStation 4,Teen,['Action'],['PlayStation 4'],0
Children of Morta,3.9,"Action, Adventure, RPG, Indie","Nintendo Switch, Linux, PC, Xbox One, macOS, PlayStation 4",Teen,"['Action', 'Adventure', 'RPG', 'Indie']","['Nintendo Switch', 'Linux', 'PC', 'Xbox One', 'macOS', 'PlayStation 4']",0
Call of Duty: Infinite Warfare,3.58,"Action, Shooter","Xbox One, PC, PlayStation 4",Mature,"['Action', 'Shooter']","['Xbox One', 'PC', 'PlayStation 4']",1
