Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genre_Action,Genre_Adventure,Genre_Arcade,Genre_Board Games,Genre_Card,Genre_Casual,Genre_Educational,Genre_Family,Genre_Fighting,Genre_Indie,Genre_Massively Multiplayer,Genre_Platformer,Genre_Puzzle,Genre_Racing,Genre_Rpg,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Platform_3Do,Platform_Android,Platform_Apple Ii,Platform_Atari 2600,Platform_Atari 5200,Platform_Atari 8-Bit,Platform_Atari St,Platform_Classic Macintosh,Platform_Commodore / Amiga,Platform_Dreamcast,Platform_Game Boy,Platform_Game Boy Advance,Platform_Game Boy Color,Platform_Game Gear,Platform_Gamecube,Platform_Genesis,Platform_Ios,Platform_Jaguar,Platform_Linux,Platform_Macos,Platform_Neo Geo,Platform_Nes,Platform_Nintendo 3Ds,Platform_Nintendo 64,Platform_Nintendo Ds,Platform_Nintendo Dsi,Platform_Nintendo Switch,Platform_Pc,Platform_Playstation,Platform_Playstation 2,Platform_Playstation 3,Platform_Playstation 4,Platform_Playstation 5,Platform_Ps Vita,Platform_Psp,Platform_Sega 32X,Platform_Sega Cd,Platform_Sega Master System,Platform_Sega Saturn,Platform_Snes,Platform_Web,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One,Platform_Xbox Series S/X,Cluster,db_id
Need For Speed: Most Wanted - A Criterion Game,3.36,"Racing, Arcade","Android, Ps Vita, Wii U, Pc, Ios, Xbox 360, Playstation 3",Teen,-0.3812580253732917,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1636
Crazy Taxi (1999),3.83,"Action, Racing, Arcade","Playstation 3, Playstation 2, Xbox 360, Pc, Ios, Android, Gamecube, Dreamcast",Everyone,0.3257503467926077,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1637
Lego Harry Potter: Years 1-4,3.81,"Action, Adventure, Family, Platformer","Wii, Nintendo Ds, Psp, Playstation 3, Ps Vita, Pc, Xbox 360, Macos, Android",Everyone 10+,0.2956648841472503,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1638
Loop Hero,4.05,"Rpg, Strategy, Simulation, Indie","Linux, Macos, Pc, Android, Nintendo Switch, Xbox Series S/X",Teen,0.6566904358915389,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1639
Portal Knights,2.99,"Action, Adventure, Rpg","Playstation 4, Xbox One, Ios, Pc, Nintendo Switch, Android",Everyone 10+,-0.9378390843124034,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1640
Wreckfest,3.68,"Racing, Arcade","Pc, Playstation 4, Ios, Xbox One, Android, Xbox Series S/X, Playstation 5, Nintendo Switch",Teen,0.1001093769524272,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1641
Teenage Mutant Ninja Turtles: Shredder'S Revenge,4.08,"Action, Adventure, Arcade, Casual, Fighting, Indie","Playstation 5, Android, Linux, Pc, Playstation 4, Nintendo Switch, Ios, Xbox One, Xbox Series S/X",Everyone 10+,0.7018186298595754,2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1642
Ducktales: Remastered,3.77,"Adventure, Platformer","Playstation 3, Xbox 360, Wii U, Ios, Android, Xbox One, Pc",Everyone,0.2354939588565354,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1643
Plants Vs. Zombies,4.25,"Strategy, Arcade, Puzzle","Android, Playstation 3, Xbox One, Nintendo Ds, Pc, Ios, Ps Vita, Xbox 360",Everyone 10+,0.9575450623451132,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1644
Planescape: Torment: Enhanced Edition,4.36,"Adventure, Rpg, Strategy","Xbox One, Nintendo Switch, Pc, Playstation 4, Android, Ios, Macos, Linux",Teen,1.1230151068945795,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1645
Lara Croft Go,3.69,"Adventure, Puzzle","Android, Linux, Macos, Pc, Ios, Playstation 4, Ps Vita",Everyone 10+,0.1151521082751056,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646
Sniper: Ghost Warrior,2.98,"Action, Shooter","Playstation 3, Ios, Pc, Xbox 360, Android",Mature,-0.9528818156350825,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1647
Sonic Cd,3.66,"Action, Platformer","Pc, Ios, Playstation 3, Sega Cd, Xbox One, Xbox 360, Android",Everyone 10+,0.0700239143070698,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1648
